id	bank_ch	site_ch	status	keyed	keyed_text	best	best_text	source	note	question
707	ar-7	ar-9, ar-11	VERIFIED	B	Aircraft are required to land and take off on runways only, but other manoeuvres need not be confined to runways and taxiways.			Annex 2 App 1 4.2.3.2		White dumbbell with black horizontal bars indicates:
708	ar-13	ar-18	VERIFIED	B	Special precautions must be observed in approaching to land or in landing.			Annex 2 App 1 4.2.2	stem damaged	with one yellow diagonal.
709	ar-1	ar-1	VERIFIED	D	200 feet			as #341		Minimum distance from jet blast:
710	ar-1	ar-1	FLAGGED	C	0520	C	0520	Aircraft Rules Sch. II para 4 (night ends half an hour before sunrise)	matches #752; AIP VFR rule would give 0530. Bank uses both 20 and 30 minutes	time 0550 there is no night flying facilities, earliest departure can be at:
711	ar-6	ar-4	VERIFIED	A	First half hour then every hour			Doc 4444 4.11.1.2		Reporting time on routes not defined by reporting points is :
712	ar-13	ar-18	FLAGGED	A	For all flights except local flights.	A	For all flights except local flights.	AIP India ENR 1.10	conflicts with #542/#378 (all flights); local flying-club flights file by phone/fax	Flight plan is required
713	ar-7	ar-9, ar-11	VERIFIED	D	AIP			AIP India GEN 1.7		Deviation from standards is given in
714	ar-9	ar-13	FLAGGED	B	AIC	B	AIC	AIP India GEN 3.1	amendments to the Rules are made by Gazette notification; the AIC only gives advance notice	Amendment to aircraft rules 1937 is given in:
715	ar-7	ar-9, ar-11	VERIFIED	C	AIP			AIP (AD 2)		Current watch hours of the station is given in
716	ar-4	ar-7, ar-12	FLAGGED	B	Decision height lower than 60 m (200 ft), but not lower than 30 m (100ft), and a runway visual range not less than 350 m.	B	Decision height lower than 60 m (200 ft), but not lower than 30 m (100ft), and a runway visual range not less than 350 m.	as #482		Cat II ILS approach
717	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	Pilot disorientation			FAA AIM 8-1		Abrupt head movement during instrument flying causes
718	ar-10	ar-22, ar-25, ar-26	FLAGGED	A	All passengers and crew	A	All passengers and crew	CAR Sec 8 Series O Pt II 4.3.9.1-2	A is right only for pressurised aeroplanes; unpressurised between 700-620 hPa is crew + 10 % pax. Stem ambiguous	Oxygen supply is required for cabin pressure below 700 hPa:
719	ar-9	ar-13	VERIFIED	A	In Operation manual			Aircraft Rules r.140B(2)(b)		Succession of command is given:
720	ar-2	ar-2, ar-14, ar-15	VERIFIED	A	DGCA			Aircraft Rules Sch. II para 8 (renewal/revalidation applications to DGCA)		Pilot’s license can be revived by:
721	ar-4	ar-7, ar-12	VERIFIED	C	Flying a/c with sole reference to instruments			Aircraft Rules r.3(31) "Instrument flight time"		Instrument flying time means:
722	ar-5	ar-5, ar-6, ar-8	FLAGGED	A	Fly on 1013.2	A	Fly on 1013.2	AIP India ENR 1.7 §4.1 (VFR above 3000 ft from ground use the cruising-level table, i.e. flight levels)	the AIP rule is about VFR cruising levels, not "outside controlled airspace"; closest answer A	Outside controlled airspace above 3000’AMSL
723	ar-2	ar-2, ar-14, ar-15	CORRECTED (proposed, not applied)	C	6 months	B	1 yr	Aircraft Rules r.39C(5) (ATPL medical 12 months until age 40)	28-year-old ATPL holder: 12 months. Keyed C (6 months) is wrong	ATPL who is 28 years old, medical is valid for
724	ar-12	ar-16, ar-17, ar-20	FLAGGED	D	Maintain airspeed	D	Maintain airspeed	as #535		To counter turbulence:
725	ar-7	ar-9, ar-11	VERIFIED	A	By choosing routes from AIP			AIP India ENR 1.12		Flight plan is made:
726	ar-6	ar-4	VERIFIED	B	Fly according to flight plan			Annex 2 Ch.5 (IFR flight continues under IFR irrespective of met)		IFR flight in VMC, weather changes to IMC:
727	ar-8	ar-19, ar-21	VERIFIED	A	Accident			Aircraft (Investigation of Accidents and Incidents) Rules 2025 r.2 accident def. (direct contact with any part of the aircraft)		Person is killed on runway while landing after being hit by the wing of an aircraft. It is an:
728	ar-2	ar-2, ar-14, ar-15	FLAGGED	B	A/c is destroyed in an accident.			as #581		Certificate of registration is valid till
729	ar-1	ar-1	VERIFIED	A	All a/c			Aircraft Rules r.7B		Emergency and cockpit check list is to be carried by
730	ar-4	ar-7, ar-12	VERIFIED	B	15 degree			PANS-OPS (Air Law textbook ch.7-8 / Captain PANS-OPS notes): straight departure within 15°		Straight out departure is:
731	ar-13	ar-18	CORRECTED (proposed, not applied)	B	Air temp, icing, spot wind	C	Operational information	Doc 4444 4.12.2 (Section 2 = Operational information)	keyed B (met items) is Section 3	Air report II section contains
732	ar-2	ar-2, ar-14, ar-15	VERIFIED	A	If required by COA			as #601		Flight engineer is to be carried if:
733	ar-9	ar-13	VERIFIED	A	1			as #524		Can fly PIC if he has flown that route without carrying passengers at least ___ times in last 12 months:
734	ar-6	ar-4	VERIFIED	C	0225			Doc 4444 5.4.2.2.3	same geometry as #24	A/c A at F390 reports at a point at 0210 wants to descend to F330, a/c B at F 360 estimates to reach the same reporting point at 0300. Before what time the first a/c should reach F330?
735	ar-9	ar-13	VERIFIED	C	DGCA authorized personnel			Aircraft Rules r.156 (inspection of any aircraft)		An a/c can be inspected by
736	ar-9	ar-13	VERIFIED	A	FL 490			as #624		An operator must keep a record of his flight crew when flown above ______ for at least 12 months of the flight for cosmic radiation effects:
737	ar-7	ar-9, ar-11	VERIFIED	C	Beyond touchdown point			CAR Sec 4 Series B Pt I 5.3.5 (further above: all white) - aircraft high, lands long		An aircraft continues his approach on PAPI with all lights indicating white. He will touchdown.
738	ar-9	ar-13	FLAGGED	C	9 hrs 3 landing	C	9 hrs 3 landing	see #92		International flying time in one day for flight Crew is:
739	ar-2	ar-2, ar-14, ar-15	VERIFIED	D	All above are correct			CAR Sec 2 Series X Pt VII (documents: CoR, CofA, licences, journey log book, etc.)		VT-AXC owned by a private citizen is on a flight to from Chennai on sight seeing tour. The aircraft’s required to carry________ among other things.
740	ar-2	ar-2, ar-14, ar-15	FLAGGED	B	Till the aircraft is destroyed in an accident			as #581		A certificate of registration is valid from the date of registration to.
741	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	QNH			AIP India ENR 1.7 §2.1.2 (altitude = QNH)		Altitude in transition layer is maintained by setting altimeter to.
742	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	12 hours			as #75		No person acting as PIC or operating crew member shall have taken alcohol narcotics or stimulates during the preceding.
743	ar-1	ar-1	VERIFIED	D	First time just after half an hour after take off and thereafter every hour			Doc 4444 4.11.1.2		If aircraft has undertaken a flight on route not defined by designated significant points the pilot is required to report aircraft position.
744	ar-9	ar-13	VERIFIED	C	2 hours before arrival			as #111		Before arrival in a health report is to be sent.
745	ar-7	ar-9, ar-11	VERIFIED	C	Runways for landing & take off			Annex 2 App 1 4.2.3.2		A white dumbbell with a black bar placed perpendicular to the shaft indicates that you should use only.
746	ar-7	ar-9, ar-11	VERIFIED	A	Special precautions to be take when approaching to land.			Annex 2 App 1 4.2.2		A horizontal yellow diagonal on a red square panel indicates.
747	ar-13	ar-18	VERIFIED	A	Continue in VMC and land at nearest suitable aerodrome			Annex 2 3.6.5.2.1 (VMC: continue in VMC, land at nearest suitable aerodrome)		When radio contact is lost, an IFR flight in VMC should.
748	ar-3	ar-3	VERIFIED	A	1000 ft			AIP India ENR 1.2 §1		Minimum vertical distance from cloud for VFR flight within controlled space is.
749	ar-6	ar-4	FLAGGED	D	All above are correct	D	All above are correct	CAR Sec 9 Series C Pt I 3.6.2.2	option A (5 % TAS) and B (3 min ETA) are both outdated thresholds	IFR flight within controlled airspace shall immediately report any deviations from flight plan resulting in;
750	ar-3	ar-3	VERIFIED	A	0427			Doc 4444 5.4.2.2.1.2 a) (crossing tracks, same level: 15 min)	0412+15 = 0427	An aircraft ‘A’ on a track of 030M reported crossing point X at 0412 at FL370. another aircraft ‘B’ at FL 370 on a track of 100M can cross the same crossing point not earlier then;
751	ar-8	ar-19, ar-21	VERIFIED	C	Alert phase (ALERFA)			as #43		A situation wherein apprehension exists as to the safety of an aircraft and its occupants is;
752	ar-9	ar-13	VERIFIED	D	0520			Aircraft Rules Sch. II para 4 (night ends half an hour before sunrise)	0550-30 = 0520. Contradicts the bank's 20-minute keys	The aerodrome at is not declared suitable for night operations. If the sunrise is at 0550 the earliest time by which an aircraft operation at the station can take place is;
753	ar-9	ar-13	FLAGGED	A	Immediately before the aircraft enters the runway in use for take off.			Doc 4444 4.3.2.1.3 b) 1) (IMC: transfer immediately after the aircraft is airborne)	keyed A (before entering runway) is wrong; no option states the rule - recommend rewrite. Contradicts #662/#691	The responsibility for control of departing aircraft will be transferred from aerodrome control to approach control when IMC is prevailing;
754	ar-9	ar-13	FLAGGED	B	9 hrs & 3 landings	B	9 hrs & 3 landings	see #92		The flight crew consists of pilot and copilot on an international flight. The flight time should not exceed more than ___ number of landings restricted to _____.
755	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	All crew members and passengers, when the atmospheric pressure in any compartment occupied by them is less then 700 mb			CAR Sec 8 Series O Pt II 4.3.9.2		A flight to be operated with a pressurized aeroplane will not be commenced unless a sufficient quantity of stored breathing oxygen is carried to supply;
756	ar-9	ar-13	VERIFIED	B	49,000 ft			as #624		For each flight of an aeroplane above ______ the operator shall maintain records, so that the total cosmic radiation received by each crew member, over a period of 12 consecutive months can be determined:
757	ar-6	ar-4	VERIFIED	C	10 minutes before entry			as #544		All aircraft transiting from one FIR to another FIR should inform ATS units responsible for providing FIS at least:
758	ar-4	ar-7, ar-12	FLAGGED	A	One hour for a two engine aero plane and 2 hour for 3 or more engines aero plane.	A	One hour for a two engine aero plane and 2 hour for 3 or more engines aero plane.	as #547		The take off alternate aerodrome shall be located from the aerodrome of departure, not more than a distance equivalent to a flight time of:
759	ar-7	ar-9, ar-11	VERIFIED	B	Alternate red and white from 3000 ft to 1000 ft, then red lights to the end.			as #536		Identify runway remaining lighting on centre line lighting systems;
760	ar-12	ar-16, ar-17, ar-20	VERIFIED	B	A total of one hour of the oldest recorded data accumulated at the time of testing may be erased.			as #538		For the purpose of testing the flight recorder system:
761	ar-12	ar-16, ar-17, ar-20	FLAGGED	A	Constant air speed (VA)	A	Constant air speed (VA)	as #535	option B (level flight attitude) is arguably the right answer	If you fly into severe turbulence, which flight condition should you attempt to maintain:
762	ar-1	ar-1	VERIFIED	A	The operator			Aircraft Rules r.141(1) (operator designates PIC)		One pilot will be designated as PIC of a public transport aircraft for each flight by:
763	ar-4	ar-7, ar-12	FLAGGED	D	20 nm	D	20 nm	as #539		Enroute altitude will be determined for each stage of the route by taking 1000 ft terrain clearance within:
764	ar-13	ar-18	FLAGGED	C	All flights other then local flights	C	All flights other then local flights	as #712		A flight plan is required to be submitted to the appropriate ATS unit for
765	ar-9	ar-13	FLAGGED	D	4 hrs			as #412		Flight duty time if inevitably extended, will be limited to:
766	ar-9	ar-13	BLOCKED	B	He is cleared by the DGCA			as #432		The privileges of a license can be exercised by a pilot involved in an incident after:
767	ar-7	ar-9, ar-11	VERIFIED	C	AIP			AIP (AD 2)		For knowing the current watch hours of a station you should look onto:
768	ar-6	ar-4	FLAGGED	A	request to IFR flights and traffic information to VFR flights	B	IFR flights and IFR flights	AIP India ENR 1.4 Class D (IFR separated from IFR; VFR traffic info)	keyed A is garbled ("request to IFR flights") while B states the rule exactly	In a category D airspace, ATC will provide separation between:
769	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	Lateral separation between aircraft.			Doc 4444 5.4.1 (lateral separation by track)		Track separation ensures:
770	ar-3	ar-3	VERIFIED	D	6000 ft			as #118		Aerobatics flight, if flying within 2 nm of the periphery of an aerodrome, will be carried out at a height not less then:
771	ar-9	ar-13	VERIFIED	B	125 hrs			Aircraft Rules r.42A (125 h in 30 consecutive days)		No pilot shall fly for more then the number of hours specified below during any period of 30 consecutive days:
772	ar-9	ar-13	VERIFIED	C	Any flight.			Aircraft Rules r.7B (every Indian-registered aircraft)		Cockpit check lists and emergency check lists are required to be carried in all Indian registered aircraft when they are effecting:
773	ar-1	ar-1	VERIFIED	C	magnetic north			FAA AIM 2-3-3		R/W directions are given in:
774	ar-9	ar-13	VERIFIED	D	15nm			as #236		No domestic flight carrying passengers is permitted to fly with in _________ nautical miles of international border.
775	ar-1	ar-1	FLAGGED	B	Loss of muscular power.	B	Loss of muscular power.	HPL textbook (CO symptoms list: headache, tightness across the forehead ... loss of muscular power)	both A and B are listed symptoms - two correct options	CO poisoning symptoms:
776	ar-1	ar-1	VERIFIED	C	ICAO must be informed about differences from the standards in any of the Annexes to the convention			Chicago Convention Art. 38 (Captain Ch.1 notes)		Which of the following is obligating for members of ICAO?
777	ar-1	ar-1	VERIFIED	C	The rules established under the Convention of international civil aviation			Chicago Convention Art. 12		For aircraft flying over the high seas, which rules shall be in force?
778	ar-1	ar-1	VERIFIED	B	Aerodromes			Annex 14 = Aerodromes		Annex 14 to the convention on international civil aviation contains SARPs for:
779	ar-1	ar-1	VERIFIED	A	Limitation of the operator's responsibility vis-a-vis passengers and goods transported			Warsaw Convention (Captain Ch.1 notes)		The Warsaw Convention and later amendments deals with:
780	ar-1	ar-1	VERIFIED	B	Security			Annex 17 = Security		Annex 17 to the Convention of Chicago covers:
781	ar-1	ar-1	FLAGGED	B	It shall give 60 days notice to ICAO of the differences between its own practices and the International Standard	C	It shall give immediate notice to ICAO	Chicago Convention Art. 38 (Captain Ch.1 notes line: "shall give immediate notification")	60 days applies to AMENDMENTS; stem asks about a Standard - immediate (C). Captain's own notes state both	The State has to notify the Council of ICAO if a state finds that it is impracticable to comply with an International Standard. The notice period is:
782	ar-1	ar-1	VERIFIED	B	Warsaw Convention			Warsaw Convention		The international convention defining rules relative to the responsibilities of international air carriers for the carriage of passengers, baggage and freight is the:
783	ar-1	ar-1	VERIFIED	A	Binding for the member states that have not notified ICAO about a national difference			Chicago Convention Art. 37/38		The 'Standards' contained in the Annexes to the Chicago Convention are to be considered:
784	ar-1	ar-1	VERIFIED	C	Follow the rules of the Air of the State of Registration to the extent that they do not conflict with the rules published by the State having jurisdiction over the territory overflown			Annex 2 2.1.1 (rules apply wherever the aircraft may be, to the extent they do not conflict with the rules of the State overflown)		An aircraft flying over the territory of another state must:
785	ar-1	ar-1	VERIFIED	C	2nd freedom			Freedoms of the air (Captain Ch.1 notes)		An airplane is planning a flight that will require a technical landing in a neighboring state. Which freedom of the air will be exercised?
786	ar-1	ar-1	VERIFIED	A	Offences caused in the territory of a contracting state or in a ship or aircraft registered therein, by an aircraft registered in the territory of another contracting state			Tokyo Convention 1963 (Captain Ch.1 notes)		The Tokyo Convention applies to:
787	ar-1	ar-1	VERIFIED	B	Chicago			Chicago Convention		The International Civil Aviation Organisation (ICAO) was established by the international convention of:
788	ar-1	ar-1	VERIFIED	A	Damage caused by foreign aircraft to third parties on the surface			Rome Convention		The Rome Convention and later amendments deals with:
789	ar-1	ar-1	VERIFIED	B	The convention of Tokyo			Tokyo Convention		The convention on offences and certain acts committed on board aircraft is:
790	ar-1	ar-1	VERIFIED	C	May deliver such person to the competent authorities			Tokyo Convention (commander may deliver the person to competent authorities; may only request, not require, passenger help)		The aircraft commander, when he has reasonable grounds to believe that a person has committed or is about to commit, on board the aircraft, an offence against penal law:
791	ar-1	ar-1	VERIFIED	C	Rome			Rome Convention		If a person is injured by a part falling from an aircraft flying over the state but registered in another state, which convention covers this?
792	ar-1	ar-1	VERIFIED	C	No			Captain Ch.1 notes Q17 (India has not ratified the Transport Agreement)		India is a signatory to the International Air Transport Agreement, 1944:
793	ar-1	ar-1	VERIFIED	B	The Rome Convention			Rome Convention		The convention signed by states moved by a desire to ensure adequate compensation for persons who suffer damage caused on the surface by foreign aircraft is:
794	ar-1	ar-1	VERIFIED	B	Annex 18			Annex 18 = Dangerous Goods		Which Annex to the Chicago Convention covers dangerous goods carried in aircraft?
795	ar-1	ar-1	BLOCKED	C	DGCA			no held source on who initiates		Proposal to give effect to an International Convention in India is initiated by:
796	ar-1	ar-1	VERIFIED	B	Right to land for a technical stop			Freedoms of the air (Captain Ch.1 notes: second freedom = technical stop)		The second freedom of the air is the:
797	ar-1	ar-1	VERIFIED	B	The Montreal Convention			Montreal Convention 1971		Which convention makes acts of violence on board, destruction of aircraft in flight, and destroying or damaging any air navigation facility punishable?
798	ar-1	ar-1	VERIFIED	C	The Convention of Tokyo			Tokyo Convention		According to which Convention may an aircraft commander impose measures upon a person committing a crime or an offence on board the aircraft?
799	ar-1	ar-1	VERIFIED	A	Domestic air services			Cabotage		'Cabotage' refers to:
800	ar-1	ar-1	VERIFIED	B	ICAO regulations for the member states that have not notified ICAO about a national difference within a specified period			Chicago Convention Art. 38		In case of a conflict between ICAO regulations and national regulations, which one takes precedence?
801	ar-1	ar-1	VERIFIED	B	Paris Convention, 1919			Paris Convention 1919 (Captain Ch.1 notes)		Which convention is considered to be a forerunner of the Chicago Convention, 1944?
802	sar	ar-10	VERIFIED	A	On a 24-hour basis			AIP India GEN 3.6 (SAR on a 24-hour basis)		Search and rescue services within the territory of ICAO contracting states are provided:
803	sar	ar-10	VERIFIED	C	Regional Air Navigation Agreements			Captain SAR notes (Annex 12 content)		For portions of the high seas or areas of undetermined sovereignty, SAR service areas are determined on the basis of:
804	sar	ar-10	VERIFIED	B	Rescue coordination centre and rescue sub-centres			Captain SAR notes (Annex 12 content)		The units responsible for promoting efficient organisation of search and rescue service are:
805	sar	ar-10	VERIFIED	B	In each search and rescue region			Captain SAR notes (Annex 12 content)		Contracting States shall establish a rescue co-ordination centre:
806	sar	ar-10	VERIFIED	B	SAR regions shall not overlap and neighbouring regions shall be contiguous			Captain SAR notes (Annex 12 content)		Which statement correctly describes the rules governing Search and Rescue Regions?
807	sar	ar-10	VERIFIED	A	The Indian FIR boundary, excluding Bhutan's sovereign territory			AIP India GEN 3.6 (SRR coincides with FIR, excluding Bhutan)		The boundary of the Indian Aeronautical Search and Rescue Region (SRR) coincides with:
808	sar	ar-10	VERIFIED	B	An area of defined dimensions associated with a Rescue Coordination Centre within which SAR services are provided			Captain SAR notes (Annex 12 content)		A Search and Rescue Region (SRR) is defined as:
809	sar	ar-10	VERIFIED	B	A unit subordinate to an RCC, established to complement it according to particular needs			Captain SAR notes (Annex 12 content)		A Rescue Sub-Centre (RSC) is:
810	sar	ar-10	VERIFIED	C	Four RCCs — Delhi, Mumbai, Kolkata and Chennai			AIP India GEN 3.6 (four RCCs)		Airports Authority of India (AAI) coordinates aeronautical SAR through how many Rescue Coordination Centres?
811	sar	ar-10	VERIFIED	B	A unit composed of trained personnel and provided with equipment suitable for the expeditious conduct of SAR			Captain SAR notes (Annex 12 content)		A Rescue Unit is best described as:
812	sar	ar-10	VERIFIED	C	Indian Coast Guard			Captain SAR notes (oceanic areas: Indian Coast Guard)		In India, oceanic SAR areas are the responsibility of:
813	sar	ar-10	VERIFIED	B	Secretary, Ministry of Civil Aviation			AIP India GEN 3.6 (NASARCC chaired by Secretary, MoCA)		NASARCC (National Aeronautical Search & Rescue Coordination Committee) is chaired by:
814	sar	ar-10	VERIFIED	B	Mumbai, Chennai and Port Blair			Captain SAR notes (MRCCs Mumbai, Chennai, Port Blair)		India's Maritime Rescue Coordination Centres (MRCCs) are located at:
815	sar	ar-10	VERIFIED	B	Blue			Captain SAR notes (Annex 12 content)		Survival equipment dropped by SAR aircraft and containing food and water is indicated by streamers of which colour?
816	sar	ar-10	VERIFIED	A	Red for medical supplies and first aid equipment			Captain SAR notes (Annex 12 content)		The color identification of dropped SAR containers: which of the following statements is correct?
817	sar	ar-10	VERIFIED	A	A copy of the International Code of Signals			Captain SAR notes (Annex 12 content)		SAR aircraft used over maritime areas must carry:
818	sar	ar-10	VERIFIED	B	2182 kHz, 4125 kHz, and 121.5 MHz			Captain SAR notes (Annex 12 content)		Many vessels can communicate with SAR aircraft on which frequencies?
819	sar	ar-10	VERIFIED	A	(1), then by mutual consent (2), and then (3)			Captain SAR notes (Annex 12 content)		Three aircraft arrive successively at ten-minute intervals at the scene of a recent aircraft accident. Aircraft (1) cannot contact the SAR Centre. Aircraft (2) can contact the SAR Centre. Aircraft (3) is a SAR helicopter. Command of the situation rests with:
820	sar	ar-10	VERIFIED	B	Take charge of on-scene activities of all other aircraft until the first SAR aircraft arrives			Captain SAR notes (Annex 12 content)		If the first aircraft to reach the scene of an accident is NOT a search and rescue aircraft, it shall:
821	sar	ar-10	VERIFIED	A	Keep the craft in distress in sight until compelled to leave or advised by RCC it is no longer necessary			Captain SAR notes (Annex 12 content)		When a PIC observes another aircraft or surface craft in distress and it is possible to assist, which of the following is a required action?
822	sar	ar-10	VERIFIED	C	Proceed to the position given in the distress message			Captain SAR notes (Annex 12 content)		You are flying in Mumbai FIR when you intercept a distress call. You record the message and inform Mumbai FIC. The radio operator tells you to standby. What should you consider doing while awaiting instructions?
823	sar	ar-10	VERIFIED	C	Record the position of the craft in distress if given, and if possible take a bearing on the transmission			Captain SAR notes (Annex 12 content)		Whenever a distress signal is intercepted by the PIC, which of the following actions is required?
824	sar	ar-10	VERIFIED	C	Alerting Service and Flight Information Service are often provided by the same ATS unit			Captain SAR notes (Annex 12 content)		Which alerting service statement is correct?
825	sar	ar-10	VERIFIED	B	Circle the surface craft at least once, then cross its projected course close ahead			Captain SAR notes (Annex 12 content)		An aircraft wishing to direct a surface craft to a vessel in distress will first:
826	sar	ar-10	VERIFIED	B	Cross the wake of the surface craft close astern at low altitude while rocking wings			Captain SAR notes (Annex 12 content)		To signal 'Assistance No Longer Required' to a surface craft, the aircraft should:
827	sar	ar-10	VERIFIED	B	Hoist the code pennant (red and white vertical stripes) close up, or flash 'T' in Morse, or change heading to follow			Captain SAR notes (Annex 12 content)		A surface craft indicating it has understood an aircraft's directing signal will:
828	sar	ar-10	VERIFIED	A	Hoist the international flag 'N' (blue and white checkered) or flash 'N's in Morse			Captain SAR notes (Annex 12 content)		A surface craft indicating inability to comply with an aircraft's SAR directing signal will:
829	sar	ar-10	VERIFIED	B	Require assistance			Captain SAR notes (Annex 12 content)		What is the meaning of the symbol 'V' in the ground-air visual signal code for use by survivors?
830	sar	ar-10	VERIFIED	C	Need medical assistance			Captain SAR notes (Annex 12 content)		An aircraft flying over a mountainous region sees a ground signal in the form of an 'X'. This indicates:
831	sar	ar-10	VERIFIED	A	Negative / No			Captain SAR notes (Annex 12 content)		The meaning of SAR signal 'N' when used by survivors on the ground is:
832	sar	ar-10	VERIFIED	A	Operation completed			Captain SAR notes (Annex 12 content)		What is the meaning of the symbol 'LLL' in the ground-air visual signal code for use by rescue units?
833	sar	ar-10	VERIFIED	B	We have found only some personnel			Captain SAR notes (Annex 12 content)		In the rescue unit ground-air visual code, '++' (two plus signs) indicates:
834	sar	ar-10	VERIFIED	C	Nothing found — will continue to search			Captain SAR notes (Annex 12 content)		In the rescue unit ground-air visual code, 'NN' means:
835	sar	ar-10	VERIFIED	B	2.5 metres (8 feet)			Captain SAR notes (Annex 12 content)		Ground-air visual signal symbols shall have a minimum length of:
836	sar	ar-10	VERIFIED	B	Rock its wings			Captain SAR notes (Annex 12 content)		During daylight hours, how does an aircraft indicate it has understood a ground-air visual signal?
837	sar	ar-10	VERIFIED	C	Switch landing lights on and off twice, or if not equipped, navigation lights twice			Captain SAR notes (Annex 12 content)		At night, an aircraft observes a luminous signal requesting help. To indicate it has understood these ground signals, the pilot should:
838	sar	ar-10	VERIFIED	C	A SAR satellite-aided tracking system			Captain SAR notes (Annex 12 content)		COSPAS-SARSAT is:
839	sar	ar-10	VERIFIED	C	406 MHz			Captain SAR notes (Annex 12 content)		COSPAS-SARSAT operates on a frequency of:
840	sar	ar-10	VERIFIED	B	Bangalore and Lucknow			Captain SAR notes (LUTs Bangalore and Lucknow)		India's COSPAS-SARSAT Local User Terminals (LUTs) are located at:
841	sar	ar-10	VERIFIED	C	2430 kHz			Captain SAR notes (Annex 12 content)		Which of the following is NOT an international distress frequency?
842	sar	ar-10	VERIFIED	B	Royal Government of Bhutan			Captain SAR notes (arrangement with Royal Government of Bhutan)		India currently has a formal SAR Arrangement with:
843	ar-22	ar-22	VERIFIED	A	Is cited in approximately 73% of aviation accidents.			HPL textbook ch.1 (approx. 73% human factors)		As a cause of accidents, the human factor:
844	ar-22	ar-22	VERIFIED	C	Is approximately 1 accident per million airport movements.			HPL textbook ch.1 (approx. 1 accident per million airport movements)		The rate of accidents in commercial aviation:
845	ar-22	ar-22	VERIFIED	C	Controlled Flight Into Terrain (CFIT).			HPL textbook ch.1 (CFIT most common)		The most common specific cause of pilot-induced accidents is:
846	ar-22	ar-22	VERIFIED	B	Approach and Landing.			HPL textbook (50% of airline accidents on approach and landing)		Most of the accidents take place during:
847	ar-22	ar-22	VERIFIED	A	Deficiencies in human performance.			HPL textbook ch.1 (approx. 73 % of accidents caused by human factors)		Most aircraft accidents are linked to:
848	ar-23	ar-23	VERIFIED	B	Are now considered as being inherent to the cognitive function of human and are generally inescapable.			HPL textbook (error inherent in human performance)		Human errors:
849	ar-23	ar-23	VERIFIED	B	Liveware – Software.			HPL textbook (checklists = Liveware-Software)		The error in checklist is related to an interface mismatch between:
850	ar-23	ar-23	VERIFIED	C	Error avoidance, threat management, error management and undesired aircraft state management.			FAA AC 120-90 App 1 (TEM: threats, errors, undesired aircraft states)		CRM training has under-mentioned clear aims in terms of specific skills to develop for the purpose of:
851	ar-23	ar-23	VERIFIED	C	Liveware – Hardware.			SHELL model (Liveware-Hardware)		A congested cockpit restricting movement is an interface mismatch between:
852	ar-23	ar-23	CORRECTED (proposed, not applied)	A	Liveware – Liveware.	B	Liveware – Environment.	HPL textbook ch.14: soundproofing, temperature, humidity are Liveware-Environment	keyed A (Liveware-Liveware) is wrong; noise is Environment	High noise level in a cockpit is a mismatch between:
853	ar-23	ar-23	FLAGGED	C	Liveware – Software.	C	Liveware – Software.	SHELL model	a warning system is a display - classically Liveware-HARDWARE; neither A-C lists hardware. Recommend rewrite	Inefficient warning system in the cockpit is a mismatch between:
854	ar-23	ar-23	VERIFIED	C	Liveware – Environment.			SHELL model (circadian = Liveware-Environment)		A disturbance of the biological rhythm is a mismatch between:
855	ar-23	ar-23	CONSISTENT (not document-checked)	C	Safety.			standard		The main consideration in modern airline operations should be:
856	ar-23	ar-23	VERIFIED	C	Software, hardware, environment, and livewire.			SHELL model	options misspell "liveware" as "livewire"	The elements of the SHEL model are:
857	ar-23	ar-23	VERIFIED	C	The liveware is the hub of the SHEL model; therefore, the nonhuman components should be adapted and matched to this central component.			SHELL model (liveware is the hub)		Which is true regarding the interaction between various elements of the SHEL model?
858	ar-23	ar-23	VERIFIED	C	The quality of crew performance.			HPL textbook (CRM and LOFT seek to improve the quality of crew performances)		CRM and LOFT training are designed to improve:
859	ar-23	ar-23	VERIFIED	A	Psychology, engineering, physiology, and anthropometry.			HPL textbook (anthropometry among contributing disciplines)		Four important disciplines from which information is drawn in understanding human performance and behavior are:
860	ar-23	ar-23	CONSISTENT (not document-checked)	B	Given rise to new forms of error.			HPL textbook (automation creates new forms of error)		Pilots have now become responsible for the management of hardware and software interfaces, through which they are required to direct the operation of the aircraft. These technological advances have:
861	ar-23	ar-23	VERIFIED	B	73%			HPL textbook (73%)		About what proportion of civil air accidents result from inadequate human performance?
862	ar-23	ar-23	VERIFIED	C	It is the authority relationship between captain and first officer.			HPL textbook (trans-cockpit authority gradient)		What is meant by the trans authority gradient?
863	ar-23	ar-23	FLAGGED	B	Generally relocates potential for error and increases workload.	B	Generally relocates potential for error and increases workload.	no held source quote	"relocates error" is standard; "increases workload" is not generally true (automation redistributes workload)	Introducing Automation in a cockpit:
864	ar-23	ar-23	VERIFIED	A	A real danger of attention becoming narrowed.			HPL textbook (high arousal narrows attention)		High Arousal Overload results in:
865	ar-23	ar-23	VERIFIED	C	Should take medicines prescribed by an aviation medicine specialist and take his advise for flying.			FAA AIM 8-1 (medication)		A pilot suffering from a mild headache before flight can:
