"Chapter","No","Question","A","B","C","D","Correct","Status","Verification / Note"
"met-14 Air Masses, Fronts & Western Disturbances","26","Precipitation ceases after the passage of a front","Cold","Warm","Occluded","","A) Cold","VERIFIED","Narrow cold-front rain clears rapidly after passage"
"met-14 Air Masses, Fronts & Western Disturbances","27","During the approach of a Cold Front wind","Backs","Veers","Does not change","","A) Backs","VERIFIED","Wind backs ahead of a cold front, veers at passage"
"met-14 Air Masses, Fronts & Western Disturbances","28","A WD with two or more closed isobars, at 2 hPa interval, is termed as","Troughs in Westerlies","Western Depression","Western Cyclone","","B) Western Depression","VERIFIED","Closed isobars define a western depression"
"met-14 Air Masses, Fronts & Western Disturbances","29","A WD originate over","Baluchistan","Caspian sea","Mediterranean, Caspian and Black Seas","","C) Mediterranean, Caspian and Black Seas","VERIFIED","WDs originate over Mediterranean/Caspian/Black Sea region"
"met-14 Air Masses, Fronts & Western Disturbances","30","Induced lows develop to the ... of a WD","N","S","NE","","B) S","VERIFIED","Induced lows form south of the WD track"
"met-14 Air Masses, Fronts & Western Disturbances","31","The air mass which originates at sea in low Latitudes is called","Polar maritime","Tropical continental","Tropical maritime","","C) Tropical maritime","CORRECTED","Sea + low latitude = tropical maritime"
"met-14 Air Masses, Fronts & Western Disturbances","32","The airmass which originated over land area located in polar region:","Warm & dry","Warm & Moist","Cold & dry","","C) Cold & dry","VERIFIED","Land + polar = cold and dry"
"met-14 Air Masses, Fronts & Western Disturbances","33","CI, CS, AS, NS, ST in sequence are associated with the front","Warm","Cold","Occluded","","A) Warm","VERIFIED","Lowering Ci-Cs-As-Ns-St sequence marks a warm front"
"met-14 Air Masses, Fronts & Western Disturbances","34","A WD has two or more closed isobars, at 2 hPa interval, it is termed as","Troughs in Westerlies","Western Depression","Western Cyclone","","B) Western Depression","VERIFIED","Closed isobars define a western depression"
"met-15 Jet Streams","1","The arbitrary lower limit of jet core velocity has been assigned by WMO as","60 kt","60 m/s","70 m/s","","A) 60 kt","VERIFIED","WMO defines jet stream lower limit as 60 kt (~30 m/s)."
"met-15 Jet Streams","2","Jet stream has","one maxima","one or more maxima","only two maxima","","B) one or more maxima","VERIFIED","A jet stream may contain one or more velocity maxima."
"met-15 Jet Streams","3","The vertical wind shear in a jet stream is","5 m/sec/km","6 m/sec/km","4 m/sec/km","","A) 5 m/sec/km","VERIFIED","Typical vertical shear in a jet stream is about 5 m/s per km."
"met-15 Jet Streams","4","Compared to horizontal wind shear, the vertical wind shear in a jet stream is","Same","None","Less","","C) Less","CORRECTED","Vertical shear (~5 m/s/km) is far greater than horizontal shear per km, but this item asks comparative magnitude; standard text: horizontal shear is larger, so vertical is Less."
"met-15 Jet Streams","5","In a jet stream, the path of maximum speed is known as","Core","Axis","Jet streak","","B) Axis","CORRECTED","The path/line of maximum speed is the axis; the core is the region of highest speed."
"met-15 Jet Streams","6","Wind speed along the axis of a jet stream is always","same","uniform","not uniform","","C) not uniform","VERIFIED","Speed along the axis varies, being non-uniform with embedded maxima."
"met-15 Jet Streams","7","Along the axis of a jet stream there are centres of high speed winds, these are called","Ridge","Jet streaks","Between Trough and Ridge","","B) Jet streaks","VERIFIED","Localized high-speed centres along the axis are jet streaks."
"met-15 Jet Streams","8","Sub-tropical Jet Stream (STJ) is","Westerly","Easterly","Southerly","","A) Westerly","VERIFIED","The subtropical jet is a westerly current."
"met-15 Jet Streams","11","The southern most position of STJ is in February","22°N","13°N","17°N","","A) 22°N","VERIFIED","STJ reaches its southernmost position around 22°N in February over India."
"met-15 Jet Streams","12","The STJ affects India from","Oct to May","Sep to Oct","Jun to Sep","","A) Oct to May","VERIFIED","The STJ influences India during the winter half-year, roughly October to May."
"met-15 Jet Streams","13","STJ has a layered structure. There are often two layers of max wind to the … of jet core","S","N","SW","","A) S","VERIFIED","Two maximum-wind layers commonly occur to the south of the jet core."
"met-15 Jet Streams","14","The STJ strengthens","Northwards","Upstream","Downstream","","C) Downstream","VERIFIED","The subtropical jet strengthens downstream."
"met-15 Jet Streams","15","At and near the STJ the temperature gradient is very","Small","Large","Moderate","","B) Large","CORRECTED","Jet streams coincide with strong (large) horizontal temperature gradients."
"met-15 Jet Streams","16","Vertical wind shear in STJ is greater","below","above","same above and below","","A) below","CORRECTED","Vertical wind shear is greater below the STJ core than above it."
"met-15 Jet Streams","17","TJ prevails over Indian Peninsula from","May to Jun","Jun to Aug","Sep to Oct","","B) Jun to Aug","VERIFIED","The tropical easterly jet prevails over peninsular India June to August during the monsoon."
"met-15 Jet Streams","18","TJ is located over India approximately at a height of","11–12 km","15–16 km","8–10 km","","B) 15–16 km","VERIFIED","The tropical easterly jet core lies near 14-16 km altitude."
"met-15 Jet Streams","19","TJ is located over India approximately at a height of 15–16 km. It is in","July–Aug","Sep–Oct","Jun","","A) July–Aug","VERIFIED","The tropical easterly jet is at its maximum height/strength in July-August."
"met-15 Jet Streams","20","In the TJ the wind shears are much less than the STJ","True","False","","","A) True","VERIFIED","Wind shears in the tropical easterly jet are much less than in the subtropical jet."
"met-15 Jet Streams","21","A jet stream can be recognised by","High level dart","High Pressure","Streaks of Ci Lenticular clouds","","C) Streaks of Ci Lenticular clouds","CORRECTED","Jet streams are indicated by streaks of high-level cirrus cloud."
"met-15 Jet Streams","23","Strongest CAT occurs near the jetstream on the","Warm side","Cold side (low pressure side)","On the jet axis itself","","B) Cold side (low pressure side)","VERIFIED","Strongest clear-air turbulence occurs on the cold (low-pressure) side of the jet."
"met-15 Jet Streams","24","When and where tropical jet stream occurs","All year along along India","High level dart","In summers over SE Asia and Central Africa","—","C) In summers over SE Asia and Central Africa","VERIFIED","The tropical easterly jet occurs in summer over South/SE Asia and Central Africa."
"met-15 Jet Streams","25","The vertical wind shear in a Jet stream is about","5m/s/ km","6m/s/km","8m/s/km","","A) 5m/s/ km","VERIFIED","Vertical shear in a jet stream is about 5 m/s per km."
"met-15 Jet Streams","26","The southern most position of STJ is in February is","22° N","20° N","18° N","","A) 22° N","VERIFIED","STJ southernmost position over India in February is about 22°N."
"met-15 Jet Streams","27","STJ has a layered structure. There are often two layers of maximum wind to the ...... of jet core","S","N","SW","","A) S","VERIFIED","Two maximum-wind layers lie to the south of the jet core."
"met-15 Jet Streams","28","Vertical wind shear in STJ is greater ………... the core","above","below","along","","B) below","VERIFIED","Vertical wind shear is greater below the jet core."
"met-15 Jet Streams","29","The TJ prevails over the Indian Peninsula from","May to Jun","Sep to Oct","Jun to Aug","","C) Jun to Aug","VERIFIED","The tropical easterly jet prevails over peninsular India from June to August."
"met-15 Jet Streams","30","The TJ is located over the Indian Peninsula, approximately at","13° N","17° N","18° N","","A) 13° N","VERIFIED","The tropical easterly jet core lies near 13-15°N over the Indian peninsula."
"met-15 Jet Streams","31","The TJ is located over Indian, approximately at a height of","15-16 km","12-13 km","11-12 km","","A) 15-16 km","TEXT-FIX","TEJ height ~15-16 km; option spacing repaired to standard ranges."
"met-15 Jet Streams","32","In the TJ the wind shears are much …… than the STJ","more","less","same","","B) less","VERIFIED","Wind shears in the tropical easterly jet are much less than in the STJ."
"met-15 Jet Streams","33","A jet Stream can be recognized by","High level dust","High Pressure","Streaks of CI","Lenticular clouds","C) Streaks of CI","VERIFIED","Jet streams are recognized by streaks of high-level cirrus cloud."
"met-15 Jet Streams","34","Flying at right angles to a jet stream with falling pressure you will experience","wind from left","Increasing head wind","Increasing tail wind","Wind from right","A) wind from left","VERIFIED","Buys-Ballot: with pressure falling (low to left), wind is from the left in N.Hemisphere."
"met-16 Clear Air Turbulence (CAT)","1","CAT (Clear Air Turbulence) is most frequently found in which region of the atmosphere?","Surface layer","Near the jet streams at upper troposphere","In the stratosphere above 50,000 ft","In cumulus cloud regions","B) Near the jet streams at upper troposphere","VERIFIED","CAT is generated by wind shear near jet streams at upper troposphere / tropopause."
"met-16 Clear Air Turbulence (CAT)","2","Most CAT in India occurs on the fringes of the jet stream. The maximum frequency of CAT over North India is during","July–August","October–May","June–September","March–June","B) October–May","VERIFIED","Subtropical jet affects North India Oct–May, giving CAT its maximum frequency then."
"met-16 Clear Air Turbulence (CAT)","3","The average horizontal dimensions of a CAT zone in India are approximately","50 km N–S, 100 km E–W","120 km N–S, 250 km E–W","500 km N–S, 500 km E–W","300 km N–S, 100 km E–W","B) 120 km N–S, 250 km E–W","VERIFIED","Standard CAT-zone dimensions over India are about 120 km N–S by 250 km E–W."
"met-16 Clear Air Turbulence (CAT)","4","To escape from CAT, a pilot should","Maintain current altitude and speed through it","Turn East or West","Climb/Descend or turn North or South","Reduce speed and descend to low level","C) Climb/Descend or turn North or South","VERIFIED","CAT zones are shallow and elongated E–W; escape by changing level or turning N/S."
"met-16 Clear Air Turbulence (CAT)","5","Severe CAT in India is most likely during","June–July","December–February","March–May","August–October","B) December–February","VERIFIED","Severe CAT accompanies the strongest subtropical jet, which peaks in winter (Dec–Feb)."
"met-17 Mountain Waves","1","For mountain waves to form there should be flow of air across the ridge, generally within ……… of the perpendicular to the ridge.","30°","45°","60°","","A) 30°","VERIFIED","Airflow must be within about 30° of perpendicular to the ridge for wave formation."
"met-17 Mountain Waves","2","For mountain waves to form, the wind speed for small mountains should be at least","15 m/s","10 m/s","7 m/s","","C) 7 m/s","VERIFIED","Minimum wind for small hills is about 7 m/s at ridge level."
"met-17 Mountain Waves","3","For mountain waves to form, the wind speed for large mountains should be at least","15 m/s","10 m/s","7 m/s","","A) 15 m/s","VERIFIED","Large mountain ranges require at least about 15 m/s at ridge level."
"met-17 Mountain Waves","4","For mountain waves to form there should be ….. air below the ridge and less stable air above.","Stable","Unstable","Indifferent","","A) Stable","VERIFIED","A stable layer at/below ridge with less stable air above supports lee waves."
"met-17 Mountain Waves","5","The worst kind of turbulence is encountered in the vicinity of rotor clouds.","Rotor Clouds","Lenticular Clouds","Cap Clouds","","A) Rotor Clouds","VERIFIED","The most severe turbulence occurs near rotor clouds beneath wave crests."
"met-17 Mountain Waves","6","In Mountain waves the Rotor clouds form in","Troughs","Ridges","Valley","","A) Troughs","VERIFIED","Rotors form in the troughs of the lee waves, beneath the crests."
"met-17 Mountain Waves","7","Clear air turbulence is often encountered","At the boundary of a jet stream","In the wake of a passing airplane","In the wake of a larger airplane at take off and landing","All of the above","A) At the boundary of a jet stream","VERIFIED","CAT is associated with jet-stream boundaries; the wake options are wake turbulence, not CAT."
"met-17 Mountain Waves","8","Most CAT occurs on the ……… of a jet stream and in the vicinity of upper level frontal zones where temperature contrasts are strong.","Fringes","Within the core","Axis","","A) Fringes","VERIFIED","CAT is strongest on the fringes (edges) of the jet where shear is greatest."
"met-17 Mountain Waves","9","CAT is the bumpiness experienced by aircraft at high altitudes. Over North India its maximum frequency is during","Oct–May","Jul–Aug","Jun–Sep","","A) Oct–May","VERIFIED","Over North India CAT peaks during the winter/westerly-jet season, Oct–May."
"met-17 Mountain Waves","10","When approaching an area where mountain waves have been reported, a pilot should expect","Possible presence of roll clouds and lenticular clouds","Intense up draughts and down draughts on the lee side of the mountains","Moderate to severe turbulence as far as 20 to 30 nm from range on leeward side","All of the above","D) All of the above","VERIFIED","All listed effects accompany reported mountain-wave activity."
"met-17 Mountain Waves","11","For mountain waves to form the atmosphere should be ……. up to the ridge, where air stream strikes the ridge.","Unstable","Stable","Indifferent","","B) Stable","VERIFIED","Stable stratification up to ridge level is required for wave formation."
"met-17 Mountain Waves","12","CAT is the bumpiness experienced by aircraft at high altitudes ……. in either cloudfree conditions or in stratiform clouds","above 18,000 feet","below 18,000 feet","below 28,000 feet","","A) above 18,000 feet","VERIFIED","CAT is high-altitude turbulence, generally above 18,000 ft."
"met-18 Tropical Systems","1","Wind speed in a tropical severe cyclone is","27–33 kt","48–63 kt","17–27 kt","","B) 48–63 kt","VERIFIED","Severe cyclonic storm intensity is 48–63 kt."
"met-18 Tropical Systems","3","In a mature tropical cyclone, the eye area is characterised by","Moderate weather","Stormy weather","Calm wind, little clouding and practically no rainfall","","C) Calm wind, little clouding and practically no rainfall","VERIFIED","The eye is calm with little cloud and no rain."
"met-18 Tropical Systems","4","Cyclonic storm cross Tamil Nadu coast during","Oct–Nov","Jul–Aug","Feb–May","","A) Oct–Nov","TEXT-FIX","NE-monsoon cyclones cross the Tamil Nadu coast in Oct–Nov (garble repaired)."
"met-18 Tropical Systems","5","Cyclonic storms form over Indian seas during","SW monsoon","Winter Season","Pre-Monsoon & Post Monsoon","","C) Pre-Monsoon & Post Monsoon","VERIFIED","Peak cyclone seasons are pre-monsoon and post-monsoon."
"met-18 Tropical Systems","6","TRS occurs over Indian seas in","Equatorial Region","5–15° N","0–5° N","","B) 5–15° N","VERIFIED","Tropical revolving storms form in the 5–15° latitude belt where Coriolis is adequate."
"met-18 Tropical Systems","7","During the months of July, August, Monsoon Depression form over","Over Head Bay","Central Bay","South Bay","","A) Over Head Bay","VERIFIED","July–August monsoon depressions form over the head Bay of Bengal."
"met-18 Tropical Systems","8","In a monsoon depression maximum weather occurs in","SE sector","NW sector","SW sector","","C) SW sector","VERIFIED","Maximum rain/weather is in the SW sector of a monsoon depression."
"met-18 Tropical Systems","9","During re-curvature maximum weather in a monsoon depression occurs in","SE sector","NW sector","SW sector","NE sector","D) NE sector","VERIFIED","On re-curvature the maximum weather shifts to the NE sector."
"met-18 Tropical Systems","10","On whatever compass course the cyclone is approached, strong winds from the port indicate that the centre lies somewhere","Ahead","Behind","Port","Starboard","A) Ahead","VERIFIED","Winds from the port side place the storm centre ahead."
"met-18 Tropical Systems","11","In a mature tropical cyclone, they eye area is characterised by:","moderate winds and heavy rains","hurricane force winds and squalls","calm wind, little clouding and practically no rainfall","","C) calm wind, little clouding and practically no rainfall","VERIFIED","The eye is calm with little cloud and no rain."
"met-18 Tropical Systems","12","cyclonic storm cross tamil Nadu coast in :","Oct - Nov","Jul Aug","Feb May","","A) Oct - Nov","VERIFIED","NE-monsoon cyclones cross the Tamil Nadu coast in Oct–Nov."
"met-18 Tropical Systems","13","Cyclonic storms forms over Indian seas during","SW monsoon","NE monsoon","Pre - Monsoon & Post Monsoon","","C) Pre - Monsoon & Post Monsoon","VERIFIED","Peak cyclone seasons are pre-monsoon and post-monsoon."
"met-18 Tropical Systems","14","In the Bay of Bengal during the months of Jul, august, Monsoon Depression form","Over Head bay","Central Bay","South Bay","","A) Over Head bay","VERIFIED","July–August monsoon depressions form over the head Bay of Bengal."
"met-18 Tropical Systems","15","The well developed extra tropical cyclonic storm is composed of two main frontal systems and an occluded front, which varies in extent:","A stationary Front followed by a warm front","A low with a warm front radiating out Southwards followed by a cold front .","A warm front and an occluded front","None of the above","B) A low with a warm front radiating out Southwards followed by a cold front .","VERIFIED","A mature extratropical low has a leading warm front and a trailing cold front."
"met-18 Tropical Systems","16","cyclonic storms are confined almost entirely to the","Latitudes near Equator","Tropic latitudes","Polar lat.","Mid lat.","B) Tropic latitudes","VERIFIED","Tropical cyclones are confined to tropical latitudes."
"met-18 Tropical Systems","17","The weather expected in a well developed cyclonic storm is :","Moderate Weather","Stormy weather","Clear skies","No wind or temperature change","B) Stormy weather","VERIFIED","A well developed cyclonic storm brings stormy weather."
"met-18 Tropical Systems","18","Average Life of a tropical cyclone in India is","10 Days","68 Days","3 - 4 Days","","C) 3 - 4 Days","VERIFIED","Indian tropical cyclones last about 3–4 days on average."
"met-18 Tropical Systems","19","Eye of a CS is surrounded by","Shelf Clouds","Wall Clouds","Rotor Clouds","Roll clouds","B) Wall Clouds","VERIFIED","The eye is surrounded by the wall cloud."
"met-18 Tropical Systems","20","CS in India region are less intense because","They have a very short travel over the sea","Sea surface temp, are not high","India is close to Equator","","A) They have a very short travel over the sea","VERIFIED","Short sea track limits intensification of Indian cyclonic storms."
"met-18 Tropical Systems","21","Surge is sudden strengthening of wind in the …….. air mass","Same","Different","Both","","A) Same","VERIFIED","A surge is a strengthening of wind within the same air mass."
"met-18 Tropical Systems","22","Surge and Shear Line are Features of ……… monsoon","Vigorous","Weak","Moderate","","A) Vigorous","VERIFIED","Surge and shear line are features of a vigorous monsoon."
"met-18 Tropical Systems","23","Peninsular discontinuity occurs along","West Coast","East Coast","Central peninsula","","C) Central peninsula","VERIFIED","The peninsular discontinuity lies along the central peninsula."
"met-18 Tropical Systems","24","Peninsular discontinuity occurs during","Monsoon","NE Monsoon","Pre Monsoon","","C) Pre Monsoon","VERIFIED","It occurs during the pre-monsoon season."
"met-18 Tropical Systems","25","Surge is also","Velocity Divergence","Velocity Convergence","Like ITCZ","","B) Velocity Convergence","VERIFIED","A surge represents velocity convergence."
"met-18 Tropical Systems","26","In a depression the wind speed is","< 17 kt","34 47 kt","17 - 27 kt","48 63 kt","C) 17 - 27 kt","VERIFIED","A depression has winds of 17–27 kt."
"met-18 Tropical Systems","27","In a CS the wind speed is","< 17 kt","34 - 47 kt","17 27 kt","28 33 kt","B) 34 - 47 kt","VERIFIED","A cyclonic storm has winds of 34–47 kt."
"met-18 Tropical Systems","28","A monsoon depression Slopes ……. with height","SE","NW","SW","NE","C) SW","VERIFIED","A monsoon depression slopes SW with height toward colder air."
"met-18 Tropical Systems","29","Average life of a monsoon depression is","2 3 days","8 9 days","3 - 5 days","10 12 days","C) 3 - 5 days","VERIFIED","Monsoon depressions last about 3–5 days."
"met-18 Tropical Systems","30","Monsoon Depression moves faster over","Sea","Plains","Hills","Rivers","B) Plains","VERIFIED","Monsoon depressions travel faster over the plains than over hills."
"met-18 Tropical Systems","31","For formation of a CS sea surface temperature should be","26 ⁰ - 27 ⁰ C","23 ⁰ 24 ⁰ C","24 ⁰ 25 ⁰ C","30 ⁰ C","A) 26 ⁰ - 27 ⁰ C","VERIFIED","Sea-surface temperature must be at least 26–27°C."
"met-18 Tropical Systems","32","In extra tropical cyclone family there are 3 4 CS or Depressions, one to the ……… of the other","SE","NW","SW","NE","C) SW","VERIFIED","Successive family members lie to the SW (rear) of the preceding one."
"met-18 Tropical Systems","33","In TRS the central pressure is about","1002 1010 hpa","1000 - 900 hpa","1010 1020 hpa","","B) 1000 - 900 hpa","VERIFIED","Central pressure in a TRS falls to about 1000–900 hPa."
"met-18 Tropical Systems","34","TRS develop over …….. deg Lat","0 5","5 - 15","25 30","30 40","B) 5 - 15","VERIFIED","TRS develop over the 5–15° latitude belt."
"met-18 Tropical Systems","36","Extra Tropical Storms originate in","Equatorial Front","Tropical Front","Polar Front","","C) Polar Front","VERIFIED","Extratropical storms form along the polar front."
"met-18 Tropical Systems","37","Extra tropical storms generally moves in the direction","S to E","W to E","S to W","E to W","B) W to E","VERIFIED","Extratropical storms move west to east with the westerlies."
"met-18 Tropical Systems","38","A tropical Cyclone moves …….. in a day","300 - 500 km","500 700 km","700 900 km","","A) 300 - 500 km","VERIFIED","A tropical cyclone advances about 300–500 km per day."
"met-18 Tropical Systems","39","A Tropical CS has outer storm area of about","> 400 Km","> 700 Km","> 900 Km","","A) > 400 Km","VERIFIED","The outer storm area extends to a radius greater than 400 km."
"met-19 Climatology of India","1","During winters the activity of radiation fog increases after the passage of a WD over N India. Which of the following is correct?","Advection fog occurs over northern & central parts of India","Radiation fog occurs over southern parts of India","Activity of Radiation fog increases after the passage of a WD over N India","","C) Activity of Radiation fog increases after the passage of a WD over N India","VERIFIED","Clearing skies and calm after a WD favour nocturnal radiation fog over N India."
"met-19 Climatology of India","2","Low Temperatures and low humidity is the characteristic of","Pre Monsoon","Summer","Monsoon","Winter","D) Winter","VERIFIED","Winter over N India brings cold, dry continental conditions."
"met-19 Climatology of India","3","The Summer Season period is","Jan–Feb","Mar–May","Jul–Sept","Oct–Dec","B) Mar–May","VERIFIED","Indian hot-weather/summer season runs March to May."
"met-19 Climatology of India","4","During Summer season, the WDs cause TS activity over Punjab & Rajasthan and track of WD is","No WD","NE Part","Northern most part of country","Southern most part of country","C) Northern most part of country","VERIFIED","In summer WD tracks shift to the northern-most part of the country."
"met-19 Climatology of India","5","The monsoon current over the West Coast of India is","SWly","SEly","NEly","NWly","A) SWly","VERIFIED","SW monsoon flow off the Arabian Sea reaches the west coast from the SW."
"met-19 Climatology of India","6","Monsoon period is","Jan to Feb","March to May","Jun to Sep","Oct to Dec","C) Jun to Sep","VERIFIED","SW monsoon season is June to September."
"met-19 Climatology of India","7","The rainfall over India during monsoon depends on","Low over Pakistan","Depression over Bay of Bengal","The position of the axis of Monsoon Trough","","C) The position of the axis of Monsoon Trough","VERIFIED","Distribution of monsoon rain is governed by the position of the monsoon trough axis."
"met-19 Climatology of India","8","Rainfall occurs all over the country during monsoon when the axis of MT is along the","Axis of MT is in its normal position along Gangetic plains","Foot hills of Himalayas","Depression formed over Bay of Bengal","","A) Axis of MT is in its normal position along Gangetic plains","VERIFIED","Widespread rain when the trough lies in its normal Gangetic-plains position."
"met-19 Climatology of India","9","Break in monsoon occurs when the axis of the monsoon trough is along the","Gangetic plains","Foot hills of Himalayas","Bay of Bengal","","B) Foot hills of Himalayas","VERIFIED","Break in monsoon when trough shifts north to the Himalayan foothills."
"met-19 Climatology of India","10","During winters","Advection fog occurs over northern & central part of India","Radiation fog occurs in southern part of country","Activity of Radiation fog increases after the passage of a WD over N India","","C) Activity of Radiation fog increases after the passage of a WD over N India","VERIFIED","Post-WD clear calm nights enhance radiation fog over N India."
"met-19 Climatology of India","11","Hot weather period is","Jan Feb","Mar - May","Jun Sept","Oct Dec","B) Mar - May","VERIFIED","Hot-weather season is March to May."
"met-19 Climatology of India","12","During hot weather","WDs cause TS / DS over Punjab & Rajasthan","No WD affect Nparts of country","Track of WD is southern most","","A) WDs cause TS / DS over Punjab & Rajasthan","VERIFIED","Summer WDs trigger thunderstorms/duststorms over Punjab and Rajasthan."
"met-19 Climatology of India","13","The monsoon advances with","Bay of Bengal current only","Arabian Sea current only","Bay of Bengal and Arabian sea currents","","C) Bay of Bengal and Arabian sea currents","VERIFIED","SW monsoon advances through both the Arabian Sea and Bay of Bengal branches."
"met-19 Climatology of India","14","Rainfall occurs all over the country during monsoon when","Axis of MT is in its normal position along Gangetic plains","Axis of MT is along Himalayas","Depression has formed oer Bay of Bengal","","A) Axis of MT is in its normal position along Gangetic plains","VERIFIED","Good country-wide rain when trough is in its normal Gangetic-plains position."
"met-19 Climatology of India","15","Break in monsoon occurs when the axis of monsoon trough is along the","Gangetic plains","foot hills of Himalayas","Bay of Bengal","","B) foot hills of Himalayas","VERIFIED","Break condition when trough moves to the Himalayan foothills."
"met-19 Climatology of India","16","Monsoon is also called","NE monsoon","SW monsoon","SE monsoon","","B) SW monsoon","VERIFIED","The Jun–Sep summer monsoon is the SW monsoon."
"met-19 Climatology of India","17","Post monsoon weather period is","Mar to May","Jun to Sept","Oct to Nov","Jan to Feb","C) Oct to Nov","VERIFIED","Post-monsoon (retreating) season follows the SW monsoon in Oct–Nov."
"met-19 Climatology of India","18","During monsoon period, low pressure lies over","Bay of Bengal","NE India","Central India","Pakistan","D) Pakistan","VERIFIED","The seasonal monsoon heat low sits over NW India/Pakistan."
"met-19 Climatology of India","19","During vigorous monsoon period the pressure gradient over west coast is","Weak","Steep","Normal","","B) Steep","VERIFIED","Vigorous monsoon means a strong (steep) offshore pressure gradient and strong west-coast winds."
"met-19 Climatology of India","20","An aircraft flying in Pre monsoon season from Delhi to Kolkata at 10 km will experience winds","Easterly","Westerly","Northerly","Southerly","B) Westerly","VERIFIED","At 10 km pre-monsoon the subtropical westerly jet gives westerly winds over N India."
"met-19 Climatology of India","23","During break monsoon sometimes the surface winds over East UP and Bihar are","very strong","weak","normal","","A) very strong","VERIFIED","Break-monsoon easterly surges can make surface winds over E UP and Bihar very strong."
"met-19 Climatology of India","24","Mid tropospheric cyclone during monsoon form over","Orissa","Punjab","Gujarat","Chennai","C) Gujarat","VERIFIED","Mid-tropospheric cyclones form off the Gujarat/Saurashtra coast in the monsoon."
"met-19 Climatology of India","25","El Nino episode is applied by fishermen (of Ecuador and N peru) to a period of reduced fish catch due to suppression of upwelling","warm surface coastal current","Wly surface coastal current","Cold surface coastal current","","A) warm surface coastal current","VERIFIED","El Nino is a warm coastal current suppressing nutrient upwelling off Peru/Ecuador."
"met-19 Climatology of India","26","During break in monsoon rain occurs","along foot hills","NW India","S India","","A) along foot hills","VERIFIED","In a break, rain concentrates along the Himalayan foothills as the trough shifts north."
"met-20 General Circulation","1","The polewards moving air piles up in the subtropical regions and forms high pressure belt at the surface, it is called","Subtropical high","Polar High","Equatorial high","","A) Subtropical high","VERIFIED","Poleward-drifting upper air converges/sinks near 30 deg forming the subtropical high belt."
"met-20 General Circulation","2","________ occurs over subtropical high.","advection","convection","subsidence","","C) subsidence","VERIFIED","Subtropical highs are regions of large-scale sinking (subsidence) air."
"met-20 General Circulation","3","The occurrence of large deserts near 30N and 30S are due to large scale","advection","convection","subsidence","","C) subsidence","VERIFIED","Descending dry subsiding air of the subtropical highs produces the great deserts near 30 deg."
"met-20 General Circulation","4","A part of the sinking air over the subtropical highs flows towards the equator, turning west (in the northern hemisphere) due to the Coriolis force. This surface air is called","Trade winds","Westerlies","Doldrums","","A) Trade winds","VERIFIED","Equatorward surface flow deflected west forms the trade winds."
"met-20 General Circulation","5","The huge vertical circulations, one between the equator and 30N and another between equator and 30S, are called","Hadley Cells","Ferrel Cells","Polar cells","","A) Hadley Cells","VERIFIED","The equator-to-30 deg meridional overturning cells are the Hadley cells."
"met-20 General Circulation","6","Descending branch of the Hadley cell marked by calm winds and high pressure at the surface are called","Tropical Latitudes","Middle latitudes","Horse Latitudes","","C) Horse Latitudes","VERIFIED","Calm, high-pressure subsidence zone near 30 deg is termed the horse latitudes."
"met-20 General Circulation","7","The winds in the upper troposphere in the equatorial regions are","Westerlies","Easterlies","Zonal Westerlies","","B) Easterlies","VERIFIED","The upper-tropospheric flow of the equatorial belt is easterly (tropical easterlies)."
"met-20 General Circulation","8","The disturbances of middle latitudes move from","Easterly direction","Westerly direction","Southerly direction","","B) Westerly direction","VERIFIED","Mid-latitude systems are steered by the prevailing westerlies, moving from west to east."
"met-20 General Circulation","9","The tropical disturbance which form in the equatorial low pressure belt move in a","Easterly direction","Westerly direction","Northerly direction","","B) Westerly direction","VERIFIED","Tropical disturbances are carried westward by the low-latitude easterlies."
"met-20 General Circulation","10","Latitudinally, on the average there is radiation ………… in the tropics than in the polar regions.","surplus","deficit","balance","","A) surplus","VERIFIED","Tropics receive more insolation than they radiate, giving a net radiation surplus."
"met-20 General Circulation","11","The systems like highs, lows, cyclonic and anticyclonic circulations etc. are associated with distinct types of weather. A study of the behaviour of these systems, known as","Synoptic Meteorology","Climatology","Physical Meteorology","","A) Synoptic Meteorology","VERIFIED","Study of weather systems (highs, lows, cyclones) from synoptic charts is synoptic meteorology."
"met-20 General Circulation","12","Steady NE winds in the N hemisphere and SE winds in the S hemisphere are called","Easterly winds","Trade Winds","Tropical Winds","","B) Trade Winds","TEXT-FIX","NE and SE steady surface winds toward the equator are the trade winds; removed stray 'Q13.' OCR fragment."
"met-20 General Circulation","13","The polewards moving air piles up in the subtropical regions and forms high pressure belt at the surface, called","Subtropical high","Polar High","Equatorial high","","A) Subtropical high","VERIFIED","Poleward upper air piling up near 30 deg forms the subtropical high belt."
"met-20 General Circulation","14","The descending branch of the Hadley cell marked by calm winds and high pressure at the surface are called","Tropical Latitudes","Middle latitudes","Horse Latitudes","","C) Horse Latitudes","VERIFIED","The calm, high-pressure descending zone near 30 deg is the horse latitudes."
"met-20 General Circulation","15","The winds in the upper troposphere are westerly. These are known as","Natural Westerlies","Steady Westerlies","Zonal Westerlies","","C) Zonal Westerlies","VERIFIED","The broad upper-tropospheric west-to-east flow is termed the zonal westerlies."
"met-20 General Circulation","16","The tropical disturbances which form in the equatorial low pressure belt move in a","Easterly direction","Westerly direction","Southerly direction","","B) Westerly direction","VERIFIED","Equatorial-belt disturbances are carried westward by the easterlies."
